county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,aRate,aLCI,aUCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark,causeName
Alameda,2016-2018,Total,Asian-NH,B01,36,lev2,1355380,2.3021,1.60613,3.24391,0.38751,2.20376,0.290553,White-NH,1.045,0.20303926943885148,0.41955216941984363,Same,Mouth and oropharynx cancers
Alameda,2016-2018,Total,Black-NH,A02,35,lev2,565647,5.48306,3.78123,7.80884,0.950188,5.48306,0.950188,Black-NH,1,0,0.5,Lowest,HIV/ and other Sexually transmitted diseases (STDs)
Alameda,2016-2018,Total,Black-NH,A07,100,lev2,565647,15.4342,12.49,18.9715,1.5819,10.7314,0.860745,Asian-NH,1.438,2.611341358347249,0.004509391038492239,Higher,Respiratory infections
Alameda,2016-2018,Total,Black-NH,A09,23,lev2,565647,5.36315,3.35717,8.13077,1.14596,1.90965,0.41672,White-NH,2.808,2.832184345566366,0.0023115593421549896,Higher,Neonatal conditions
Alameda,2016-2018,Total,Black-NH,A99,92,lev2,565647,14.4586,11.5881,17.9291,1.54594,6.28369,0.666202,Asian-NH,2.301,4.8562583768045,5.981229571627722e-7,Higher,Other Infectious Diseases
Alameda,2016-2018,Total,Black-NH,B04,116,lev2,565647,17.6602,14.5188,21.3886,1.68145,9.84257,0.810699,Asian-NH,1.794,4.1879784959811035,1.4072508840445863e-5,Higher,Colon and rectum cancers
Alameda,2016-2018,Total,Black-NH,B05,70,lev2,565647,9.48763,7.34521,12.2008,1.1635,5.86055,0.494175,White-NH,1.619,2.869305164735289,0.002056873445235863,Higher,Liver cancer
Alameda,2016-2018,Total,Black-NH,B06,95,lev2,565647,13.5173,10.8621,16.749,1.42906,7.333,0.703658,Asian-NH,1.843,3.882402978092481,5.17146442161609e-5,Higher,Pancreas cancer
Alameda,2016-2018,Total,Black-NH,B07,242,lev2,565647,34.8847,30.5097,39.8226,2.30681,16.3011,1.72737,Hisp,2.14,6.4484500113269,5.649991585698899e-11,Higher,"Trachea, bronchus and lung cancers"
Alameda,2016-2018,Total,Black-NH,B09,110,lev2,565647,16.1268,13.1844,19.6476,1.57705,6.39051,0.644424,Asian-NH,2.524,5.71501254619875,5.484796505861311e-9,Higher,Breast cancer
Alameda,2016-2018,Total,Black-NH,B10,54,lev2,565647,8.2955,6.16839,11.0333,1.16645,2.96876,0.444351,Asian-NH,2.794,4.267468539742338,9.885182074675924e-6,Higher,Uterine cancer
Alameda,2016-2018,Total,Black-NH,B12,80,lev2,565647,12.2963,9.68532,15.5052,1.41209,3.69216,0.50199800000000006,Asian-NH,3.33,5.741198686755125,4.700435596305397e-9,Higher,Prostate cancer
Alameda,2016-2018,Total,Black-NH,B13,26,lev2,565647,3.91377,2.52161,5.9333,0.789908,1.97049,0.358116,Asian-NH,1.986,2.240620063464696,0.012525347983900148,Same,"Kidney, renal pelvis and ureter cancer"
Alameda,2016-2018,Total,Black-NH,B16,64,lev2,565647,10.0659,7.69148,13.05,1.2936,6.24416,0.647647,Asian-NH,1.612,2.6417537709137164,0.0041238996595655,Higher,Lymphomas and multiple myeloma
Alameda,2016-2018,Total,Black-NH,B99,158,lev2,565647,23.3993,19.7876,27.5886,1.9199600000000001,11.7895,0.895838,Asian-NH,1.985,5.479752695557829,2.1296037044926663e-8,Higher,Other malignant neoplasms
Alameda,2016-2018,Total,Black-NH,C01,324,lev2,565647,49.4026,44.0469,55.3303,2.81064,16.501,1.06577,Asian-NH,2.994,10.945595922916262,0,Higher,Hypertensive heart disease
Alameda,2016-2018,Total,Black-NH,C03,384,lev2,565647,59.8265,53.851,66.3787,3.1286,31.7687,1.47567,Asian-NH,1.883,8.111176202414388,2.220446049250313e-16,Higher,Stroke
Alameda,2016-2018,Total,Black-NH,C04,117,lev2,565647,17.6492,14.5073,21.3783,1.68176,2.99938,0.45265,Asian-NH,5.884,8.411648970317664,0,Higher,"Cardiomyopathy, myocarditis, endocarditis"
Alameda,2016-2018,Total,Black-NH,C05,118,lev2,565647,17.8325,14.6878,21.5614,1.68239,7.16034,0.692455,Asian-NH,2.49,5.86601164129138,2.232012352720858e-9,Higher,Congestive heart failure
Alameda,2016-2018,Total,Black-NH,C99,317,lev2,565647,47.0338,41.8686,52.7649,2.71166,18.9831,1.14789,Asian-NH,2.478,9.526104380949688,0,Higher,Other or unspecified cardiovascular diseases
Alameda,2016-2018,Total,Black-NH,D01,149,lev2,565647,21.7466,18.3037,25.7626,1.83231,7.24243,0.693195,Asian-NH,3.003,7.403672992137725,6.628031457012185e-14,Higher,Diabetes mellitus
Alameda,2016-2018,Total,Black-NH,D02,103,lev2,565647,15.3393,12.4507,18.8117,1.5509,5.63248,0.627098,Asian-NH,2.723,5.802444651932748,3.2677485162224684e-9,Higher,"Endocrine, blood, immune disorders"
Alameda,2016-2018,Total,Black-NH,D04,162,lev2,565647,24.4946,20.7667,28.804,1.98052,2.38798,0.414757,Asian-NH,10.257,10.925034532882119,0,Higher,Substance use
