county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Asian-NH,A07,158,lev2,1355380,0.927403,10.7314,9.11064,12.5914,0.860745,10.7314,0.860745,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,A09,25,lev2,1355380,0.368901,2.31069,1.49536,3.41841,0.462138,1.90965,0.41672,White-NH,1.2,0.6444731457822428,0.2596343329893007,No Difference
Alameda,2016-2018,Total,Asian-NH,A99,91,lev2,1355380,0.703818,6.28369,5.04609,7.76689,0.666202,6.28369,0.666202,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,B01,36,lev2,1355380,0.442681,2.3021,1.60613,3.24391,0.38751,2.20376,0.290553,White-NH,1,0.20303926943885148,0.41955216941984363,No Difference
Alameda,2016-2018,Total,Asian-NH,B02,24,lev2,1355380,0.361448,1.54207,0.981953,2.35453,0.318691,1.54207,0.318691,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,B03,83,lev2,1355380,0.672169,5.46112,4.33712,6.82604,0.606675,2.59602,0.34817,White-NH,2.1,4.09602337700826,2.1015375375244005e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Asian-NH,B04,151,lev2,1355380,0.906626,9.84257,8.31779,11.6031,0.810699,9.84257,0.810699,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,B05,127,lev2,1355380,0.83146,8.10507,6.74075,9.70396,0.72821,5.86055,0.494175,White-NH,1.4,2.5504283265667342,0.005379532200988968,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Asian-NH,B06,111,lev2,1355380,0.777323,7.333,6.01888,8.8861,0.703658,7.333,0.703658,Asian-NH,1,0,0.5,Lowest
Alameda,2016-2018,Total,Asian-NH,B07,352,lev2,1355380,1.38424,23.5201,21.0992,26.1756,1.26853,16.3011,1.72737,Hisp,1.4,3.3684490167659233,3.779618808337215e-4,Sig. Higher (p<.01)
