countyName,ccsName,nHosp
Alameda,Abdominal hernia,590
Alameda,Abdominal pain,279
Alameda,Acquired foot deformities,22
Alameda,Acute and chronic tonsillitis,87
Alameda,Acute and unspecified renal failure,1392
Alameda,Acute bronchitis,422
Alameda,Acute cerebrovascular disease,2499
Alameda,Acute myocardial infarction,2136
Alameda,Acute posthemorrhagic anemia,111
Alameda,Adjustment disorders,110
Alameda,Alcohol-related disorders,1222
Alameda,Allergic reactions,118
Alameda,Anal and rectal conditions,217
Alameda,Anxiety disorders,175
Alameda,Aortic and peripheral arterial embolism or thrombosis,63
Alameda,Aortic; peripheral; and visceral artery aneurysms,254
Alameda,Appendicitis and other appendiceal conditions,1056
Alameda,Aspiration pneumonitis; food/vomitus,707
Alameda,Asthma,904
Alameda,"Attention-deficit, conduct, and disruptive behavior disorders",53
Alameda,Bacterial infection; unspecified site,123
Alameda,Benign neoplasm of uterus,458
Alameda,Biliary tract disease,1410
Alameda,Burns,83
Alameda,Calculus of urinary tract,150
Alameda,Cancer of bladder,77
Alameda,Cancer of bone and connective tissue,69
Alameda,Cancer of brain and nervous system,144
Alameda,Cancer of breast,233
Alameda,Cancer of bronchus; lung,341
Alameda,Cancer of cervix,38
Alameda,Cancer of colon,372
Alameda,Cancer of esophagus,38
Alameda,Cancer of head and neck,95
Alameda,Cancer of kidney and renal pelvis,162
Alameda,Cancer of liver and intrahepatic bile duct,113
Alameda,Cancer of other GI organs; peritoneum,73
Alameda,Cancer of ovary,103
Alameda,Cancer of pancreas,121
Alameda,Cancer of prostate,176
Alameda,Cancer of rectum and anus,155
Alameda,Cancer of stomach,126
Alameda,Cancer of thyroid,52
Alameda,Cancer of uterus,148
Alameda,Cancer; other and unspecified primary,53
Alameda,Cardiac and circulatory congenital anomalies,207
Alameda,Cardiac arrest and ventricular fibrillation,98
Alameda,Cardiac dysrhythmias,1546
Alameda,Chronic kidney disease,183
Alameda,Chronic obstructive pulmonary disease and bronchiectasis,1497
Alameda,Chronic ulcer of skin,202
Alameda,Coagulation and hemorrhagic disorders,127
Alameda,Coma; stupor; and brain damage,58
Alameda,Complication of device; implant or graft,2126
